1,12,Рецепт 1,,Описание рецепта 1
2,23,Рецепт 2,,Описание рецепта 2
3,242,Рецепт 3,,Описание рецепта 3
4,124,Рецепт 4,,Описание рецепта 4
5,25,Рецепт 5,,Описание рецепта 5
6,25,Рецепт 6,,Описание рецепта 6
7,23,Рецепт 7,,Описание рецепта 7
8,15,Рецепт 8,,Описание рецепта 8
9,16,Рецепт 9,,Описание рецепта 9
10,17,Рецепт 10,,Описание рецепта 10
1,11,Рецепт 11,,Описание рецепта 11
2,12,Рецепт 12,,Описание рецепта 12
3,13,Рецепт 13,,Описание рецепта 13
4,14,Рецепт 14,,Описание рецепта 14
5,15,Рецепт 15,,Описание рецепта 15
6,16,Рецепт 16,,Описание рецепта 16
7,17,Рецепт 17,,Описание рецепта 17
8,18,Рецепт 18,,Описание рецепта 18
9,19,Рецепт 19,,Описание рецепта 19
10,10,Рецепт 20,,Описание рецепта 20